"","SRR18396491","SRR18396493","SRR18396494","SRR18396495","SRR18396500","SRR18396512"
"YDL207W",1660,2192,2002,1070,1242,1212
"YDR270W",1907,2731,1781,1337,1217,1437
"YDR152W",1492,2040,1904,880,1368,841
"YDL148C",1497,2375,1599,1202,1201,1057
"tI(UAU)D",3,8,3,5,2,0
"YDR379C-A",270,440,361,145,220,139
"YDR218C",118,209,141,82,111,64
"YDL018C",193,409,212,146,161,100
"YDR507C",218,498,353,247,334,219
"YDL003W",40,57,68,43,38,20
"YDR524C-B",875,1418,1174,543,935,618
"YDR371W",671,882,583,410,375,469
"YDR359C",2588,3365,2285,1913,1773,2087
"YDL180W",766,1155,868,490,633,540
"YDL133W",1859,2370,2020,1509,1437,1087
"YDR335W",3386,4529,2822,2281,2124,2806
"YDR351W",1710,2378,1732,1321,1297,1438
"YDL150W",530,866,574,427,439,362
"YDL177C",284,479,405,185,276,143
"YDR171W",27833,29044,28870,15286,18233,23079
"YDR364C",1323,1849,1266,973,906,946
"YDR309C",68,81,89,89,74,57
"YDL239C",701,790,418,369,298,463
"YDL228C",1,1,0,0,0,0
"YDL156W",522,608,575,338,363,304
"YDL016C",41,16,1,8,15,18
"tX(XXX)D",2,2,2,1,1,0
"YDR524W-C",798,1507,1133,625,946,583
"YDL085W",12288,16706,8254,8778,7343,9840
"YDR300C",458,705,468,360,337,356
"YDL168W",8950,11056,7733,5131,5594,5825
"YDR360W",71,79,62,45,48,57
"YDR195W",1182,1470,1292,744,866,681
"YDR321W",256,341,176,177,207,161
"YDR237W",360,442,380,195,309,173
"YDL127W",69,95,98,57,92,64
"YDR107C",518,643,513,274,364,375
"YDR472W",481,597,614,280,381,295
"YDL030W",684,866,870,473,595,428
"YDR468C",2085,2756,1688,1073,1226,1038
"YDL084W",974,1341,846,571,629,695
"YDL203C",1344,1915,1297,963,1034,975
"YDL025W-A",0,0,0,0,0,0
"YDR285W",568,665,577,333,443,281
"YDL229W",617,1147,864,663,733,645
"YDR329C",3553,4470,3960,2035,2574,2107
"YDR034C",1971,2972,2289,1496,1447,1811
"YDR009W",714,1120,1645,418,1062,732
"tS(AGA)D2",3,2,2,2,0,1
"YDR488C",169,259,160,121,183,166
"YDR103W",1512,1729,1407,922,859,1153
"YDR336W",480,562,372,202,251,193
"YDL101C",333,338,269,237,205,240
"YDR162C",1029,1561,1282,710,967,696
"YDR312W",647,986,729,466,526,428
"YDL061C",287,503,278,269,265,194
"YDL040C",892,1280,865,621,683,818
"YDR145W",3082,4261,2622,2016,2103,2377
"YDR124W",612,863,664,364,402,429
"YDL231C",1822,2371,1655,1173,1177,1367
"YDR190C",1231,1964,1218,941,973,1013
"YDL064W",596,853,549,317,475,372
"YDR463W",4895,6319,5021,3144,3486,3760
"YDR491C",156,152,137,82,69,93
"YDR449C",270,498,281,248,305,181
"YDL035C",5324,7023,5425,3265,3799,3824
"YDR074W",64791,60338,47761,35003,33734,44975
"YDR525W",20,27,19,8,12,19
"YDR257C",419,557,368,257,257,318
"YDR402C",163,189,140,99,114,86
"YDR450W",424,813,349,281,334,266
"YDR376W",770,919,675,430,585,402
"YDR161W",855,1102,756,600,598,555
"YDR090C",705,921,594,459,538,485
"YDR189W",2418,2733,1998,1468,1378,1684
"YDR524C",1152,1621,1040,872,942,947
"YDL237W",729,930,679,437,466,662
"YDR188W",1471,2001,1338,877,970,1121
"YDL133C-A",238,650,344,229,239,180
"YDR531W",613,685,455,299,325,389
"tG(GCC)D1",3,0,0,0,1,0
"YDR226W",1190,1550,1022,717,782,710
"YDL054C",1259,1245,942,628,689,921
"YDL205C",1017,1526,807,584,647,783
"YDR537C",36,43,33,18,28,31
"YDR496C",975,1601,1049,802,816,770
"YDR313C",1415,1848,1294,813,912,936
"YDL108W",1432,1545,1426,771,1068,711
"tV(CAC)D",18,28,8,6,9,7
"YDR340W",11,32,12,16,9,12
"YDL147W",7058,9025,5993,4143,4658,4715
"YDL081C",1785,2775,1767,1414,1619,1537
"YDR283C",2206,2570,2005,1276,1416,1434
"YDR261C",202,260,282,140,182,153
"YDL211C",109,184,143,85,93,61
"YDL074C",974,1635,1030,820,776,774
"YDL091C",2495,3107,2690,1348,1858,1580
"YDR346C",2144,3061,2944,1387,1935,1270
"YDR072C",4001,4639,3043,2915,2578,2713
"YDR242W",732,888,705,433,515,476
"YDR323C",571,787,688,344,410,366
"YDR486C",1984,2905,1992,1387,1569,1425
"YDR420W",2465,3728,2405,2078,2016,2388
"YDL122W",4610,6055,4132,3008,3081,2928
"YDR390C",1328,1660,1118,874,974,1067
"YDR481C",3121,4044,3602,2108,2409,2273
"YDR318W",718,771,693,404,481,347
"YDL105W",209,305,276,143,165,109
"YDL141W",694,970,583,488,489,514
"YDR400W",492,618,434,303,353,306
"YDR522C",56,56,48,28,34,14
"YDL173W",1939,2165,1914,1207,1568,1210
"YDR279W",222,344,260,178,222,161
"YDR281C",366,1062,1566,306,819,175
"YDR213W",712,1255,693,736,695,558
"YDR179W-A",376,481,233,171,216,145
"YDR330W",4477,5740,3814,2804,2786,3174
"YDR106W",85,112,66,52,71,50
"YDL178W",1697,2663,1652,991,1145,1100
"YDR484W",458,613,415,277,315,338
"YDR308C",267,535,315,155,275,136
"YDL192W",356,471,312,189,232,174
"YDL202W",400,451,371,270,220,255
"YDR146C",136,174,205,152,140,136
"YDR241W",137,336,204,111,145,88
"YDL158C",23,36,20,14,18,19
"YDL185W",4764,5779,4141,2958,3236,3948
"YDR251W",2813,3168,2298,1718,1831,2146
"tL(UAA)D",6,18,2,6,4,12
"YDR192C",626,809,628,415,466,508
"YDR368W",11040,13312,10089,6643,7157,6884
"YDR494W",2223,2848,2173,1472,1615,1385
"YDR399W",510,1368,980,335,562,508
"YDR070C",26223,31951,21507,14359,14594,19651
"YDR138W",1205,1434,1404,768,864,672
"YDR031W",386,683,403,223,302,228
"YDR255C",1471,1996,1672,927,1090,1094
"YDL060W",1434,1885,1163,961,943,977
"YDR048C",10,7,9,2,6,6
"YDR067C",833,1267,929,607,733,571
"YDR126W",431,545,402,252,332,264
"YDR315C",317,455,213,147,202,122
"YDL126C",16670,20252,13061,9516,9738,13341
"YDR262W",10456,13591,9180,6592,7648,7339
"tQ(UUG)D3",15,9,5,7,5,4
"YDR345C",788,1328,2447,425,960,604
"YDR079W",364,598,324,233,277,191
"YDR433W",73,85,90,49,45,66
"YDL144C",2215,2783,2210,1390,1563,1705
"YDR306C",3112,3587,2757,1668,2014,1728
